Object Identifier,c_This_is_a,c_Test_Precondition,c_Test_Procedure,c_Test_Postcondition,c_Test_Expected_Results,c_Comment_Test_Run,c_Observed_Result,c_Release,c_Result_Test_Run,c_Maturity,c_Review_Comment,c_Regression_Test,c_Priority,c_Problem_Report
TS_CAN_68,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,,135,#TBD#,#TBD#,,,,
TS_CAN_69,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,,135,#TBD#,#TBD#,,,,
TS_CAN_70,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,,135,#TBD#,#TBD#,,,,
TS_CAN_72,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,,135,#TBD#,#TBD#,,,,
TS_CAN_73,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,,135,#TBD#,#TBD#,,,,
TS_CAN_74,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,,135,#TBD#,#TBD#,,,,
TS_CAN_76,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,,135,#TBD#,#TBD#,,,,
TS_CAN_77,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,,135,#TBD#,#TBD#,,,,
TS_CAN_78,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,,135,#TBD#,#TBD#,,,,
TS_CAN_79,heading,N/A,N/A,N/A,N/A,#TBD#,,N/A,N/A,N/A,,,,
TS_CAN_82,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,,135,#TBD#,#TBD#,,,,
TS_CAN_83,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,,135,#TBD#,#TBD#,,,,
TS_CAN_84,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,,135,#TBD#,#TBD#,,,,
TS_CAN_86,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,,135,#TBD#,#TBD#,,,,
TS_CAN_87,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,,135,#TBD#,#TBD#,,,,
TS_CAN_88,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,,135,#TBD#,#TBD#,,,,
TS_CAN_90,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,,135,#TBD#,#TBD#,,,,
TS_CAN_91,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,,135,#TBD#,#TBD#,,,,
TS_CAN_92,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,#TBD#,,135,#TBD#,#TBD#,,,,
TS_CAN_107,heading,N/A,N/A,N/A,N/A,#TBD#,,N/A,N/A,N/A,,,,
TS_CAN_170,heading,N/A,N/A,N/A,N/A,#TBD#,,N/A,N/A,N/A,,,,
TS_CAN_171,comment,N/A,N/A,N/A,N/A,#TBD#,,N/A,N/A,N/A,,,,
TS_CAN_172,heading,N/A,N/A,N/A,N/A,#TBD#,,N/A,N/A,N/A,,,,
TS_CAN_256,heading,N/A,N/A,N/A,N/A,#TBD#,,N/A,N/A,N/A,,,,
TS_CAN_173,test_case,"1) Add watch or debug variable to monitor 'Rte_AppLibIF_R_CoDrvDrAjrStat_CoDrvDrAjrStat_Buf'.
2) Set Power Mode = RUN to enable simulation of Rx messages.
3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal CoDrvDrAjrStat,

1) $1 =TRUE
2)  $0 =FALSE

NOTE: Signal CoDrvDrAjrStat is in message PDU_4011 ($58E).
",1) Read the value received by CAN wrapper in  variable 'Rte_AppLibIF_R_CoDrvDrAjrStat_CoDrvDrAjrStat_Buf'.,"1) CoDrvDrAjrStat is TRUE:
'Rte_AppLibIF_R_CoDrvDrAjrStat_CoDrvDrAjrStat_Buf' = TRUE.

2) CoDrvDrAjrStat is FALSE:
'Rte_AppLibIF_R_CoDrvDrAjrStat_CoDrvDrAjrStat_Buf' = FALSE.
","14.01.2021:
RO 1129556

21.04.2009 17:28 SW_Version_1.3 Failed 
Comment: Flasher starts with an off-phase of 200ms","1) $1 =TRUE
2)  $0 =FALSE","135
139.x
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",TRUE,,
TS_CAN_174,test_case,"1) Add watch or debug variable to monitor 'Rte_AppLibIF_R_DrvDrAjrStat_DrvDrAjrStat_Buf'.
2) Set Power Mode = RUN to enable simulation of Rx messages.
3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal DrvDrAjrStat ,
1) $1 =TRUE
2)  $0 =FALSE

NOTE: Signal DrvDrAjrStat is in message PDU_4011 ($58E).",1) Read the value received by CAN wrapper in  variable 'Rte_AppLibIF_R_DrvDrAjrStat_DrvDrAjrStat_Buf'.,"1) DrvDrAjrStat is TRUE:
'Rte_AppLibIF_R_DrvDrAjrStat_DrvDrAjrStat_Buf' = TRUE.

2) DrvDrAjrStat is FALSE:
'Rte_AppLibIF_R_DrvDrAjrStat_DrvDrAjrStat_Buf' = FALSE.","14.01.2021:
RO 1129556

21.04.2009 17:28 SW_Version_1.3 Passed 
Comment:","1) $1 =TRUE
2)  $0 =FALSE
","135
139.x
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",TRUE,,
TS_CAN_257,test_case,"1) Add watch or debug variable to monitor 'Rte_AppLibIF_R_LRDrAjrStat_LRDrAjrStat_Buf'.
2) Set Power Mode = RUN to enable simulation of Rx messages.
3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal LRDrAjrStat,

1) $1 =TRUE
2)  $0 =FALSE

NOTE: Signal LRDrAjrStat is in message PDU_4011 ($58E).",1) Read the value received by CAN wrapper in  variable 'Rte_AppLibIF_R_LRDrAjrStat_LRDrAjrStat_Buf'.,"1) LRDrAjrStat is TRUE:
'Rte_AppLibIF_R_LRDrAjrStat_LRDrAjrStat_Buf' = TRUE.

2) LRDrAjrStat is FALSE:
'Rte_AppLibIF_R_LRDrAjrStat_LRDrAjrStat_Buf' = FALSE.",RO 1129556,"1) $1 =TRUE
2)  $0 =FALSE
","135
139.x
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",TRUE,,
TS_CAN_259,test_case,"1) Add watch or debug variable to monitor 'Rte_AppLibIF_R_RRDrAjrStat_RRDrAjrStat_Buf'.
2) Set Power Mode = RUN to enable simulation of Rx messages.
3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal RRDrAjrStat,
1) $1 = TRUE.
2) $0 = FALSE.

NOTE: Signal RRDrAjrStat is in message PDU_4011 ($58E).",1) Read the value received by CAN wrapper in  variable 'Rte_AppLibIF_R_RRDrAjrStat_RRDrAjrStat_Buf'.,"1) RRDrAjrStat is TRUE:
'Rte_AppLibIF_R_RRDrAjrStat_RRDrAjrStat_Buf' = TRUE.

2) RRDrAjrStat is FALSE:
'Rte_AppLibIF_R_RRDrAjrStat_RRDrAjrStat_Buf' = FALSE.
",RO 1129556,"1) $1 =TRUE
2)  $0 =FALSE
","135
139.x
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",TRUE,,
TS_CAN_260,test_case,"1) Add watch or debug variable to monitor 'Rte_AppLibIF_R_WndPstnStsLF_WndPstnStsLF_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal WndPstnStsLF,
1) $0 = Denormalized
2) $1 = Fully Closed
3) $2 = Less Than Position A
4) $3 = Position A
5) $4 = Greater Than A but less than 6) Position C
6) $5 = Position C
7) $6 = Greater than Position C but less than Fully open
8) $7 = Fully Open

NOTE: Signal WndPstnStsLF is in message PDU_4013 ($5A1).",1) Read the value received by CAN wrapper in  variable 'Rte_AppLibIF_R_RRDrAjrStat_RRDrAjrStat_Buf'.,"Value of WndPstnStsLF received in CAN wrapper:
1) $0 = Denormalized
2) $1 = Fully Closed
3) $2 = Less Than Position A
4) $3 = Position A
5) $4 = Greater Than A but less than 6) Position C
6) $5 = Position C
7) $6 = Greater than Position C but less than Fully open
8) $7 = Fully Open",RO 1129556,"1) $0 = Denormalized
2) $1 = Fully Closed
3) $2 = Less Than Position A
4) $3 = Position A
5) $4 = Greater Than A but less than 6) Position C
6) $5 = Position C
7) $6 = Greater than Position C but less than Fully open
8) $7 = Fully Open","135
139.x
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
TS_CAN_261,test_case,"1) Add watch or debug variable to monitor 'Rte_AppLibIF_R_WndPstnStsLR_WndPstnStsLR_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal WndPstnStsLR,
1) $0 = Denormalized
2) $1 = Fully Closed
3) $2 = Less Than Position A
4) $3 = Position A
5) $4 = Greater Than A but less than Position C
6) $5 = Position C
7) $6 = Greater than Position C but less than Fully open
8) $7 = Fully Open

NOTE: Signal WndPstnStsLR is in message PDU_4013 ($5A1).",1) Read the value received by CAN wrapper in  variable 'Rte_AppLibIF_R_WndPstnStsLR_WndPstnStsLR_Buf'.,"Value of WndPstnStsLR received in CAN wrapper:
1) $0 = Denormalized
2) $1 = Fully Closed
3) $2 = Less Than Position A
4) $3 = Position A
5) $4 = Greater Than A but less than Position C
6) $5 = Position C
7) $6 = Greater than Position C but less than Fully open
8) $7 = Fully Open",RO 1129556,"1) $0 = Denormalized
2) $1 = Fully Closed
3) $2 = Less Than Position A
4) $3 = Position A
5) $4 = Greater Than A but less than Position C
6) $5 = Position C
7) $6 = Greater than Position C but less than Fully open
8) $7 = Fully Open","135
139.x
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
TS_CAN_262,test_case,"1) Add watch or debug variable to monitor 'Rte_AppLibIF_R_WndPstnStsRF_WndPstnStsRF_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal WndPstnStsRF,
1) $0 = Denormalized
2) $1 = Fully Closed
3) $2 = Less Than Position A
4) $3 = Position A
5) $4 = Greater Than A but less than Position C
6) $5 = Position C
7) $6 = Greater than Position C but less than Fully open
8) $7 = Fully Open

NOTE: Signal WndPstnStsRF is in message PDU_4013 ($5A1).",1) Read the value received by CAN wrapper in  variable 'Rte_AppLibIF_R_WndPstnStsRF_WndPstnStsRF_Buf'.,"Value of WndPstnStsRF received in CAN wrapper:
1) $0 = Denormalized
2) $1 = Fully Closed
3) $2 = Less Than Position A
4) $3 = Position A
5) $4 = Greater Than A but less than Position C
6) $5 = Position C
7) $6 = Greater than Position C but less than Fully open
8) $7 = Fully Open",RO 1129556,"1) $0 = Denormalized
2) $1 = Fully Closed
3) $2 = Less Than Position A
4) $3 = Position A
5) $4 = Greater Than A but less than Position C
6) $5 = Position C
7) $6 = Greater than Position C but less than Fully open
8) $7 = Fully Open","135
139.x
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",TRUE,,
TS_CAN_263,test_case,"1) Add watch or debug variable to monitor 'Rte_AppLibIF_R_WndPstnStsRR_WndPstnStsRR_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal WndPstnStsRR,
1) $0 = Denormalized
2) $1 = Fully Closed
3) $2 = Less Than Position A
4) $3 = Position A
5) $4 = Greater Than A but less than Position C
6) $5 = Position C
7) $6 = Greater than Position C but less than Fully open
8) $7 = Fully Open

NOTE: Signal WndPstnStsRR is in message PDU_4013 ($5A1).",1) Read the value received by CAN wrapper in  variable 'Rte_AppLibIF_R_WndPstnStsRR_WndPstnStsRR_Buf'.,"Value of WndPstnStsRR received in CAN wrapper:
1) $0 = Denormalized
2) $1 = Fully Closed
3) $2 = Less Than Position A
4) $3 = Position A
5) $4 = Greater Than A but less than Position C
6) $5 = Position C
7) $6 = Greater than Position C but less than Fully open
8) $7 = Fully Open",RO 1129556,"Value of WndPstnStsRR received in CAN wrapper:
1) $0 = Denormalized
2) $1 = Fully Closed
3) $2 = Less Than Position A
4) $3 = Position A
5) $4 = Greater Than A but less than Position C
6) $5 = Position C
7) $6 = Greater than Position C but less than Fully open
8) $7 = Fully Open
","135
139.x
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",TRUE,,
TS_CAN_264,test_case,"1) Put a breakpoint at function Rte_Read_CanWrapper_RPort_RX_NodeStsBCM_LcFA_NodeStsBCM_LcFA and disable the breakpoint.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).

","In RBS open VectorSimulationNode and set the following values to signal NodeStsBCM_LcFA,
1) $1 = TRUE.
2) $0 = FALSE.

NOTE: Signal NodeStsBCM_LcFA is in message NodeStatus_CAN4_PDU01 ($3C3).

2) Enable breakpoint.

3) Once breakpoint is hit read the value written to 'arg1'.",Read the value of signal NodeStsBCM_LcFA received in CAN wrapper and written in 'arg1'.,"Value of NodeStsBCM_LcFA received in CAN wrapper is:
1) $1 = TRUE.
2) $0 = FALSE.",RO 1129556,"Value of NodeStsBCM_LcFA received in CAN wrapper is:
1) $1 = TRUE.
2) $0 = FALSE.
","135
139.x
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",TRUE,,
TS_CAN_265,test_case,Message not Available,"1) In WinIDEA, update the status of the signal ComConf_ComSignal_NodeStsECM_CAN_2_LcFA called by the function  Com_ReceiveSignal() defined in the file Rte_patch.c with value 0
2) In WinIDEA, update the status of the signal ComConf_ComSignal_NodeStsECM_CAN_2_LcFA called by the function  Com_ReceiveSignal() defined in the file Rte_patch.c with value 1
",1) Observe the value of the signal NodeStsECM_CAN_2_LcFA in the message NodeStatus_CAN4_MSG09 ($42A).,"1) NodeStsECM_CAN_2_LcFA is FALSE
2) NodeStsECM_CAN_2_LcFA is TRUE",RO 1129556,"1) NodeStsECM_CAN_2_LcFA is FALSE
2) NodeStsECM_CAN_2_LcFA is TRUE
","135
139.x
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",TRUE,,
TS_CAN_266,test_case,"1) Put a breakpoint at function Rte_Read_CanWrapper_RPort_RX_TmSyncMsg_TmSyncMsg and disable the breakpoint.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal TmSyncMsg,
1) 0 ms
2) 10000 ms
3) 50000 ms

NOTE: Signal TmSyncMsg is in message PDU_4011 ($58E).

2) Enable breakpoint.

3) Once breakpoint is hit read the value written to 'arg1'.","Read the value of signal NodeStsBCM_LcFA received in CAN wrapper and written in 'arg1'.

E = N * 100.0

NOTE: 'arg1' is a pointer to the start address of TmSyncMsg buffer which is 5 bytes long.","Value of NodeStsBCM_LcFA received in CAN wrapper is:
1) 0 = 0 ms
2) 100 =  10000 ms
3) 500 = 50000 ms

",RO 1129556,"Value of NodeStsBCM_LcFA received in CAN wrapper is:
1) 0 = 0 ms
2) 100 =  10000 ms
3) 500 = 50000 ms
","135
139.x
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
TS_CAN_267,test_case,"1) Add watch or debug variable to monitor 'Rte_AppLibIF_R_ClmCtlFrtBlwFanSpd_ClmCtlFrtBlwFanSpdFdbkRtlzd_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal CCCGI_FrtBlwFanSpdFdbkRtlzd,
1) 25%
2) 50%
3) 100%

NOTE: Signal CCCGI_FrtBlwFanSpdFdbkRtlzd is in message PDU_4012 ($5A0).
","1) Read the value of signal received by CAN wrapper in variable, 'Rte_AppLibIF_R_ClmCtlFrtBlwFanSpd_ClmCtlFrtBlwFanSpdFdbkRtlzd_Buf'

E = N* 0.392157","Value of signal CCCGI_FrtBlwFanSpdFdbkRtlzd received in CAN wrapper is,
1) 64
2) 127
3) 255",RO 1129556,"Value of signal CCCGI_FrtBlwFanSpdFdbkRtlzd received in CAN wrapper is,
1) 64
2) 127
3) 255
","135
139.x
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
TS_CAN_268,test_case,"1) Put a breakpoint at function Rte_Read_CanWrapper_RPort_RX_ClmCtlFrtBlwFanSpdFdbkRtlzd_Inv_ClmCtlFrtBlwFanSpdFdbkRtlzd_Inv and disable the breakpoint.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal CCCGI_FrtBlwFanSpdFdbkRtlzd_Inv,
1) $1 - TRUE
2) $0 - FALSE

NOTE: Signal CCCGI_FrtBlwFanSpdFdbkRtlzd_Inv is in message PDU_4012 ($5A0).

2) Enable breakpoint.

3) Once breakpoint is hit read the value written to 'arg1'.",Read the value of signal NodeStsBCM_LcFA received in CAN wrapper and written in 'arg1'.,"Value of signal CCCGI_FrtBlwFanSpdFdbkRtlzd_Inv received in CAN wrapper is,
1) 1 - TRUE
2) 0 - FALSE",RO 1129556,"Value of signal CCCGI_FrtBlwFanSpdFdbkRtlzd_Inv received in CAN wrapper is,
1) 1 - TRUE
2) 0 - FALSE
","135
139.x
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
TS_CAN_269,test_case,"1) Add watch or debug variable to monitor 'Rte_AppLibIF_R_RrBlwCmd_RrBlwCmd_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal RrBlwCmd,
1) 25%
2) 50%
3) 100%

NOTE: Signal RrBlwCmd is in message PDU_4012 ($5A0).","1) Read the value of signal RrBlwCmd received in CAN wrapper in variable 'Rte_AppLibIF_R_RrBlwCmd_RrBlwCmd_Buf'.

E = N* 0.09765","Value of signal RrBlwCmd received in CAN wrapper is,
1) 256
2) 512
3) 1023
",RO 1129556,"Value of signal RrBlwCmd received in CAN wrapper is,
1) 256
2) 512
3) 1023
","135
139.x
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
